aktiv;mtid_vf;mtid_vb;mtid_parent;vannforsyningssystem;behandlingsanlegg;kommunenr;kommune;funksjon;kunstig_infiltrasjon;siling;filtrering_membran;desinfeksjon_membran;avsalting;koagulering;flokkulering;flotasjon;sedimentering;ionebytte;filtrering_ozon;desinfeksjon_ozon;uv_bestraaling;klorering;kloramin;desinfeksjon_annen;lufting;fjerning_jern_mangan;fjerning_uorg_stoff;ph_just_korrosjonkontroll;avherding;dosering_andre_kjemikalier;andre_behandlingsmetoder;periode
nei;Z0704301334209681190GHVTZ;Z0704301334209741190BJFHF;Z0704301334209721190CRZGZ;Grønland - Vannforsyning Bærum Kommune Natur Og Idrett;Vannbehandlingsanlegg For Grønland - Vannforsyning Bærum Kommune Natur Og Idrett;;;;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;
nei;Z0704301334333151189YIBAT;Z0704301334333171189CEWAQ;Z0704301334333161189DWNID;1716 Skytterkollen As;Vannbehandlingsanlegg For 1716 Skytterkollen As;;;Hovedanlegg;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;
nei;Z0705302301319791189RQYAK;Z0806061209070110177ZUNXC;Z0805072300372571190WUNFM;Forsand Kommunale Vannverk;Forsand Vannbehandlingsanlegg(Eldre);;;Reserveanlegg;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;ja;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;2010
nei;Z0704301334367811189XKVFN;Z0704301334367831189QDITF;Z0704301334367821189ONJBY;Fjordlaks As - Sjøvannforsyni- Ngsanlegg (Fersk-Salt-Anllegg;Vannbehandlingsanlegg For Fjordlaks As - Sjøvannforsyni- Ngsanlegg (Fersk-Salt-Anllegg;;;;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;
nei;Z0704301335211671190BJAHD;Z0704301335211721190BTYRW;Z0704301335211711190YQPLR;Kvisle Vassverk;Vannbehandlingsanlegg For Kvislistøyl Vassverk Brokke Vatn- Og Avlaupsverk As;4216;Birkenes;;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;2011
ja;Z0704301335326241189ZPULZ;Z0704301335326261189YDDNB;Z0704301335326251189WSWCW;Leivann V/Jan Gjernes;Vannbehandlingsanlegg For Leivann V/Jan Gjernes;4201;Risør;;nei;ja;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;ja;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;2011
nei;Z0704301335369601189ZIOFX;Z0704301335369621189WZPQO;Z0704301335369611189MNLAR;Hjeltefjorden Fjordsenter;Vannbehandlingsanlegg For Hjeltefjorden Fjordsenter;;;;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;
ja;Z0704301339315751190HWICV;Z0808191029460540177KXASN;Z0808191023452350177JFTSZ;Omnes Caravan V/Elling Omnes;Behandlingsanlegg Omnes Camping;;;Hovedanlegg;nei;ja;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;ja;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;
nei;Z0704301335229181190MFZBZ;Z0704301335229201190GZRSQ;Z0704301335229191190JZWBX;Lien Vannverk;Vannbehandlingsanlegg For Lien Vannverk;;;;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;
nei;Z0704301335238131190PNQEY;Z0704301335238151190GHIFI;Z0704301335238141190XLBAK;Baugetveitstemma Vannverk;Vannbehandlingsanlegg For Baugetveitstemma Vannverk;;;;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;
nei;Z0704301335239221190TEWCS;Z0704301335239241190KZMUC;Z0704301335239231190MZPKI;Raudtjørn Vannverk;Vannbehandlingsanlegg For Raudtjørn Vannverk;;;;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;
nei;Z0704301335243851190JETMW;Z0704301335243871190JUJGL;Z0704301335243861190YPCIN;Eidesjøen Vassverk;Vannbehandlingsanlegg For Eidesjøen Vassverk;;;;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;
ja;Z0704301338341771190WOLTN;Z0901051454450910124VGFUY;Z0805072302585331194ECBNX;Mørkdalen Vannverk;Vestervollen;1860;Vestvågøy;Hovedanlegg;nei;ja;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;ja;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;2025
nei;Z0704301335265381190KVDXP;Z0704301335265401190GWXAL;Z0704301335265391190QQLRK;Olsen Skarholmen A/S, Rolf;Vannbehandlingsanlegg For Olsen Skarholmen A/S, Rolf;;;;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;
nei;Z0704301335267301190VGCZJ;Z0704301335267311190PCFHN;Z0704301335267311190GJLUS;Minde Vannverk V/Anjo Eiendomjan Egil Berland;Vannbehandlingsanlegg For Minde Vannverk V/Anjo Eiendomjan Egil Berland;;;;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;
ja;Z0810271430228010156KPWBB;Z0810271451329260156GNACQ;Z0810271433062380156CNSSL;Eikern Vannverk;Sandsbukta;;;Hovedanlegg;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;ja;ja;nei;nei;nei;nei;nei;ja;nei;nei;nei;2025
ja;Z0704301335310341190RZTUF;Z0704301335310351190WPDQW;Z0704301335310341190RXZDZ;Eikemyrane Hyttefelt;Vannbehandlingsanlegg;1114;Bjerkreim;Hovedanlegg;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;ja;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;2025
nei;Z0704301335321791190HQUQU;Z0704301335321811190DNYZW;Z0704301335321801190RSVFR;Neset Hyttefelt;Vannbehandlingsanlegg For Neset Hyttefelt;;;Hovedanlegg;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;ja;nei;nei;nei;nei;nei;nei;ja;nei;nei;nei;2011
nei;Z0704301335449091189MXRCA;Z0704301335449101189BVFFE;Z0704301335449091189TQHRE;Knatvoldstranda Camping Vannv. V/Ivar Johan Haug;Vannbehandlingsanlegg For Knatvoldstranda Camping Vannv. V/Ivar Johan Haug;;;Hovedanlegg;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;2017
nei;Z0704301335334991190OXFGM;Z0704301335335001190JGISR;Z0704301335335001190NWNOX;Stasiewicz Zygmunt;Vannbehandlingsanlegg For Stasiewicz Zygmunt;;;;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;
nei;Z0704301335339131190HAWBA;Z0704301335339151190JMOAG;Z0704301335339141190TFQOD;Wærpen, Harald;Vannbehandlingsanlegg For Wærpen, Harald;;;;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;
nei;Z0704301335463381189IUUFV;Z0704301335463391189DZCYP;Z0704301335463391189GFVRV;Holtnes Brygge As;Vannbehandlingsanlegg For Holtnes Brygge As V/ Erik Myklebust;3203;Asker;;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;
nei;Z0704301335473201189BQKMS;Z0704301335473221189FPLJD;Z0704301335473211189MFJJD;Murvold/Vingen Vassverk V/Edmund Hårstad;Vannbehandlingsanlegg For Murvold/Vingen Vassverk V/Edmund Hårstad;;;;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;
ja;Z0704301335440671189ATGIZ;Z0704301335440681189CJQKC;Z0704301335440671189JCTLB;Landfallhytta - Vannforsyningssystem;Landfallhytta - Vannbehandling;;;Hovedanlegg;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;
nei;Z0704301335480451189VNVEN;Z0704301335480461189CEYNU;Z0704301335480461189YGYYD;Murvold Og Vingen Vannverk Ba V/ Asbjørn Oskar Flenstad;Vannbehandlingsanlegg For Murvold Og Vingen Vannverk Ba V/ Asbjørn Oskar Flenstad;;;;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;
nei;Z0704301335387931190EKCEL;Z0704301335387941190YKQQW;Z0704301335387931190RYFYY;Bortistu Storli;Vannbehandlingsanlegg For Bortistu Storli;;;;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;
ja;Z0704301335507981189EEVHU;Z0704301335507991189WBSMA;Z0704301335507981189ZUJRH;Jønnabakken Vannverk;Vannbehandlingsanlegg For Jønnabakken Vannverk;;;Reserveanlegg;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;
nei;Z0704301335509871189QDXCZ;Z0704301335509881189MHOXG;Z0704301335509881189OYKEO;Bjørgåsen Fjellstue V/Anne Guri Ulvin;Vannbehandlingsanlegg For Bjørgåsen Fjellstue V/Anne Guri Ulvin;;;;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;ja;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;
nei;Z0704301335415581190NRWVM;Z0704301335415591190IFRGB;Z0704301335415581190HAMPK;Tverråa Private Vannverk V/Karl Fr. Eriksen;Vannbehandlingsanlegg For Tverråa Private Vannverk V/Karl Fr. Eriksen;;;Hovedanlegg;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;ja;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;
ja;Z0704301335425191190LOBFW;Z0704301335425211190ADLKK;Z0704301335425201190RJNKW;Havdal Vannverk;Klor;5022;Rennebu;Reserveanlegg;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;2025
ja;Z0704301335522121189WNGFZ;Z0704301335522131189IECPB;Z0704301335522121189VDVTN;Rognes Vasslag;Vannbehandlingsanlegg For Rognes Vasslag V / Stein R. Strand;;;Hovedanlegg;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;ja;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;2025
nei;Z0704301335590311189IXPPS;Z0704301335590321189SPDVJ;Z0704301335590321189AUNQW;Øveregga Fjellgård V/Sverre Sunnset;Vannbehandlingsanlegg For Øveregga Fjellgård V/Sverre Sunnset;;;;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;
nei;Z0704301335433661190CGXHR;Z0704301335433681190JBZCV;Z0704301335433671190MAVFO;Granmo Camping;Vannbehandlingsanlegg For Granmo Camping;;;;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;
nei;Z0704301335557621189NWOQR;Z0704301335557641189PWXPW;Z0704301335557631189ITBVZ;Breesgård Vannverk (Camping) V/Esten Vassli;Vannbehandlingsanlegg For Breesgård Vannverk (Camping) V/Esten Vassli;;;Hovedanlegg;nei;ja;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;ja;nei;nei;nei;nei;nei;nei;nei;ja;nei;nei;2018
nei;Z0704301335446461190JBJRR;Z0704301335446481190EZXPB;Z0704301335446471190XTLCQ;Gullvåg Camping V/Odd Og Oddfrid Nyberg;Vannbehandlingsanlegg For Gullvåg Camping V/Odd Og Oddfrid Nyberg;;;Reserveanlegg;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;2010
nei;Z0704301335585741189WOCYO;Z0704301335585761189RDFVN;Z0704301335585751189ABOBF;Gyllråa Vannverk V/Per Morten Engan;Vannbehandlingsanlegg For Gyllråa Vannverk V/Per Morten Engan;5028;Melhus;Hovedanlegg;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;ja;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;
nei;Z0704301335477521190MCGPA;Z0704301335477531190HHQLT;Z0704301335477531190TNSZL;Bortistu Gjestegard Foredlingsvirksomhet;Vannbehandlingsanlegg For Bortistu Gjestegard Foredlingsvirksomhet;;;Hovedanlegg;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;ja;nei;nei;2015
nei;Z0704301336193361190SCNSE;Z0704301336193381190ZHRXG;Z0704301336193371190GMQYL;Spåtind Vannanlegg V/Erik Bråthen;Vannbehandlingsanlegg Spåtind Vannanlegg V/Erik Bråthen;3448;Nordre Land;;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;
ja;Z0704301336195281190ZUSFL;Z0704301336195291190AEDYF;Z0704301336195281190RSBLV;Nordre Land Kommune Solheim Barnehage- Vannforsyning;Torpa Barnehage Avd. Solheim - Vannbehandlingsanlegg;3448;Nordre Land;Hovedanlegg;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;2021
ja;Z0704301336012901189DAMLL;Z0704301336012911189IRGME;Z0704301336012901189DTIJO;Nicare Landaasen As - Vannforsyning Til Institusjonskjøkken;Landaasen Rehabiliteringssenter - Vannbehandling;3447;Søndre Land;Hovedanlegg;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;2024
ja;Z0704301336014721189EQSJL;Z0704301336014951189QOCVE;Z0704301336014951189HLUQW;Hugulia Sameie - Vannforsyniing;Hugulia Sameie - Vannbehandlijng;;;;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;2009
nei;Z0704301336302961189FSNFL;Z0704301336302971189BFEPU;Z0704301336302961189WFMCS;Lyngstrand Camping - Vannforsyning;Lyngstrand Camping - Vannbehandling;;;Hovedanlegg;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;2018
ja;Z0704301335597691189RNDNS;Z0704301335597701189RBDSE;Z0704301335597701189HXYUR;Torsætra Kafe Vannverk;Vannbehandlingsanlegg For Torsætra Kafe Vannverk;;;Hovedanlegg;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;2013
nei;Z0704301336345101189EEPGT;Z0704301336345111189UIOXD;Z0704301336345101189ZOHJR;Givas Iks Grue Vannverk V/ Vidar Holth;Vannbehandlingsanlegg For Givas Iks Grue Vannverk V/ Vidar Holth;;;;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;
ja;Z0704301336347631189ZVLFC;Z0704301336347641189FOGPD;Z0704301336347631189USSOX;Monsrud Vannverk Sa V/Vidar Osrønningen;Vannbehandlingsanlegg For Monsrud Vannverk A/L V/ Einar Helgesen;3419;Våler (Hedm.);Hovedanlegg;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;ja;nei;nei;2025
nei;Z0704301336315821189YTHWI;Z0704301336315841189LCLIA;Z0704301336315831189YHQDX;Furuodden Camping - Vannforsyning;Furuodden Camping - Vannbehandling;;;;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;2009
nei;Z0704301336196641190KXMGE;Z0704301336196651190IBRBA;Z0704301336196641190YSFXY;Kildevangen Behandlingssenter - Vannforsyningsanlegg;Kildevangen Behandlingssenter - Vannbehandlingsanlegg;;;;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;2011
ja;Z0704301336209821190IOLOJ;Z0704301336209841190FZLZL;Z0704301336209831190WDRKJ;Haupberg Gård - Vannforsyning;Haupberg Gård - Vannbehandling;;;Hovedanlegg;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;2011
nei;Z0704301336211441190HSLCY;Z0704301336211451190QQOYR;Z0704301336211441190QTYSS;Grythe Søndre Nedre Per Øversveen;Vannbehandlingsanlegg For Grythe Søndre Nedre Per Øversveen;;;;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;
nei;Z0704301336327471189ZECIE;Z0704301336327481189RUXZM;Z0704301336327481189DIPMY;Lunde Gårdsbarnehage Vannverk;Lunde Gårdsbarnehage - Vannbehandling;3443;Vestre Toten;;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;2013
nei;Z0704301336337281189MJWUP;Z0704301336337291189RZTWF;Z0704301336337291189TWQIB;Vannforsyning Hugin Bv V/Lars Olav Hovland;Vannbehandlingsanlegg Hugin Bv V/Lars Olav Hovland;3443;Vestre Toten;;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;
nei;Z0704301336224391190XLKGH;Z0704301336224401190JDRLJ;Z0704301336224401190VNCQP;Vind Idrettslag, Vindhytta - Vannforsyning;Vind Idrettslag, Vindhytta - Vannbehandling;;;;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;2009
nei;Z0704301336227841190OFMZC;Z0704301336227851190DBZYQ;Z0704301336227841190JBLUL;Givas Iks Hukusjøen Barnehage;Vannbehandlingsanlegg For Givas Iks Hukusjøen Barnehage;;;;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;
nei;Z0704301336229561190IVCUM;Z0704301336229571190ZEMTF;Z0704301336229561190ECSST;Sandvik Feriested;Vannbehandlingsanlegg For Sandvik Feriested;;;Hovedanlegg;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;
nei;Z0704301336239091190GVCVL;Z0704301336239111190IYXSH;Z0704301336239101190KIAOP;Finnskogen Turist Og Villmarksenter;Vannbehandlingsanlegg For Finnskogen Turist Og Villmarksenter;3417;Grue;Hovedanlegg;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;2015
nei;Z0704301336362691189KCOQE;Z0704301336362701189NQQJG;Z0704301336362701189QBCOU;Syningom Omsorgssenter;Vannbehandlingsanlegg For Syningom Omsorgssenter;3414;Nord-Odal;;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;
ja;Z0704301336264421190BPIMC;Z0704301336264431190CWPJB;Z0704301336264431190HYGJI;Mosogn Velforening V.V.;Vannbehandlingsanlegg For Mosogn Velforening V.V.;3418;Åsnes;Hovedanlegg;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;2015
ja;Z0704301336357011189ZXYRV;Z0704301336357021189JLMWK;Z0704301336357021189WAVMV;Dragonmoen Camping;Vannbehandlingsanlegg For Dragonmoen Camping V/Bjerknes;3401;Kongsvinger;Hovedanlegg;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;2015
ja;Z0704301336282541190PBDSO;Z0704301336282551190YECGI;Z0704301336282541190UGEAE;Persmoen Aktivitetssenter;Vannbehandlingsanlegg For Persmoen Aktivitetssenter;;;Hovedanlegg;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;2012
nei;Z0704301336288981190BZBVF;Z0704301336288991190OMOQL;Z0704301336288991190AVERI;Ustaoset Resort;Vannbehandlingsanlegg For Ustaoset Resort;;;;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;2010
nei;Z0704301336311811190SERQF;Z0704301336311821190CZMFU;Z0704301336311821190BVGKA;Hallingen Høyfjellshotel;Vannbehandlingsanlegg For Hallingen Høyfjellshotel;;;Hovedanlegg;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;ja;nei;nei;nei;nei;ja;nei;nei;ja;nei;nei;2022
ja;Z0704301336319971190OJXYR;Z0704301336319981190LFGMO;Z0704301336319981190ADUDP;Skarslia Apartment Vannforsyning;Vannbehandlingsanlegg For Skarslia Apartment;3328;Ål;Hovedanlegg;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;ja;nei;nei;nei;nei;nei;nei;2020
ja;Z0704301336321601190RZMAR;Z0704301336321611190KAJFO;Z0704301336321601190SUORJ;Torpomoen Eigedom As;Uv-Anlegg;3328;Ål;Hovedanlegg;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;ja;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;2024
nei;Z0704301336458821189CRJQP;Z0704301336458831189CVIER;Z0704301336458821189JZAGT;Stavn Camping Remko Dahlkamp;Vannbehandlingsanlegg For Stavn Camping Remko Dahlkamp;;;;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;
nei;Z0704301336460441189TGCIV;Z0704301336460451189UEOWV;Z0704301336460441189WXGIW;Birkelund Camping;Vannbehandlingsanlegg For Birkelund Camping;;;;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;2010
nei;Z0704301336346191190ASDSA;Z0704301336346201190IIHCP;Z0704301336346201190FKIDP;Motell Nor Kro As;Vannbehandlingsanlegg For Motell Nor Kro As;;;;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;2010
nei;Z0704301336329761190CUCFI;Z0704301336329771190JAUDQ;Z0704301336329761190MZIAJ;Iungsdalen Turisthytte Dnt;Vannbehandlingsanlegg For Iungsdalen Turisthytte Dnt;;;Hovedanlegg;nei;ja;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;ja;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;
ja;Z0704301336426401189HXPDB;Z0704301336426411189TRJUZ;Z0704301336426401189XTAIG;Kvanhøgd Turistsenter;Jernbehandlingsanlegg For Kvanhøgd Turistsenter;;;Hovedanlegg;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;ja;nei;nei;nei;nei;nei;2018
nei;Z0704301336428151189TOGPB;Z0704301336428161189HDBER;Z0704301336428161189ZJUHY;Granheim Feriesenter;Vannbehandlingsanlegg For Granheim Feriesenter;;;;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;
nei;Z0704301336429441189TASNO;Z0704301336429451189XLKGM;Z0704301336429451189FQQYM;Ørterstølen As;Vannbehandlingsanlegg For Ørterstølen As;;;;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;
ja;Z0704301336380001190XDWIX;Z0704301336380011190VLGCD;Z0704301336380001190HXIJJ;Kaardal As - Vassforsyning;Vannbehandlingsanlegg For Kaardal As;;;;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;2023
ja;Z0704301336474471189LIRYK;Z0704301336474491189NJRHN;Z0704301336474481189RLIUP;Opedal Vassverk;Vannbehandlingsanlegg For Opedal Vassverk;;;Hovedanlegg;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;ja;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;2025
nei;Z0704301336476481189MCUWA;Z0704301336476491189SKXSE;Z0704301336476491189GJPRL;Ålvik Vassverk V/ Elkem Bjølvefossen As;Vannbehandlingsanlegg For Ålvik Vassverk V/ Elkem Bjølvefossen As;;;;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;
nei;Z0704301336401561190JNSVE;Z0704301336401571190OOEHG;Z0704301336401571190FIKHS;Mjølfjell Ungdomsherberge, Vannforsyning;Vannbehandlingsanlegg For Mjølfjell Ungdomsherberge As;;;;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;
ja;Z0710032242118421189QPSNK;Z0805072302371141190ISXNV;Z0805072302371131190RKAPE;Horsfjord Vannverk;Horsfjord Vannverk. Renseanlegget;1811;Bindal;Hovedanlegg;nei;ja;ja;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;ja;nei;nei;nei;2025
nei;Z0704301336432261190OOSVM;Z0704301336432281190IKCBR;Z0704301336432271190TIOJQ;Suldalsosen Vassverk;Vannbehandlingsanlegg For Suldalsosen Vassverk Suldal Kommune Bygg Og Eigedom;1134;Suldal;Hovedanlegg;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;ja;nei;nei;nei;nei;nei;nei;ja;nei;nei;nei;2012
nei;Z0704301336548941189QRFJQ;Z0704301336548951189KTINZ;Z0704301336548951189ICCFP;Hiimsmoen Vassverk;Vannbehandlingsanlegg For Hiimsmoen Vassverk Suldal Kommune Bygg Og Eigedom;1134;Suldal;Hovedanlegg;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;ja;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;2012
nei;Z0805072302374141190MKRET;Z0805072302374151190UPDRK;Z0805072302374151190DGKQR;Sømna Kommune Vassverk;Vassbotn Vannbehandlingsalegg;1812;Sømna;Hovedanlegg;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;
