aktiv;mtid_vf;mtid_vb;mtid_parent;vannforsyningssystem;behandlingsanlegg;kommunenr;kommune;funksjon;kunstig_infiltrasjon;siling;filtrering_membran;desinfeksjon_membran;avsalting;koagulering;flokkulering;flotasjon;sedimentering;ionebytte;filtrering_ozon;desinfeksjon_ozon;uv_bestraaling;klorering;kloramin;desinfeksjon_annen;lufting;fjerning_jern_mangan;fjerning_uorg_stoff;ph_just_korrosjonkontroll;avherding;dosering_andre_kjemikalier;andre_behandlingsmetoder;periode
nei;Z1501070905260003251VZQXK;Z1501090932162613251TCZMA;Z1501090929017443251MDQWK;Hem Barnehage Vannforsyning;Behandlingsanlegg;;;Hovedanlegg;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;ja;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;
nei;Z1502020023091513251BGPHG;Z1502021235511213251LAJAE;Z1502020033515403251GGYYS;Vannforsyningssystem;Behandlingsanlegg;;;Hovedanlegg;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;
ja;Z0709111124527950116OBTNI;Z1502031130476073252UIDPX;Z1102091330090923251MVSZK;Trysilfjell Vannverk;Behandlingsanlegg;3421;Trysil;Hovedanlegg;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;2025
nei;Z1501081511016802024NBEBD;Z1501081511020312024JQRYM;Z1501081511019072024VREZU;Vestmarka Vannverk;Glingeråsen;;;Hovedanlegg;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;2015
nei;Z1501211355036510386BRIBR;Z1501211400058910386ZAYUM;Z1501211357550270386JFLGN;Sannes Hyttegrend;Sannes Hyttegrend;;;Hovedanlegg;nei;nei;nei;nei;ja;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;
ja;Z1401251810467033251DZVCI;Z1502091445461033252SFABJ;Z1502091433178803252JOHRT;Indre Kjelling Vannforsyningssystem;Behandlingsanlegg;;;Hovedanlegg;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;ja;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;2025
nei;Z0710032241323441195GFBEQ;Z1503201005344940381GPOOX;Z1101201218434930122KEJWG;Harstad Vannverk;Fellingsanlegg;;;Hovedanlegg;nei;nei;nei;nei;nei;ja;ja;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;ja;nei;nei;nei;
ja;Z1503171414386782025QXIPU;Z1503171414388732025QGOQR;Z1503171414387972025QXMGO;Riple Skole Vannforsyningssystem;Behandlingsanlegg - Riple Skole Vannforsyningssystem;;;;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;2015
ja;Z1503231053259212025QTSPR;Z1503231053261582025TNENS;Z1503231053260702025IZWYD;Mortveit Hyttefelt;Mortveit Hyttefelt - Behandlingsanlegg;;;Hovedanlegg;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;2025
nei;Z1503251332280322025YZBCH;Z1503251332281642025FDCAN;Z1503251332281062025LZTMT;Tretten Kro Og Motell - Vannforsyning;Vannbehandlingsanlegg For Bådstø Gjestgiveri A/S;;;Hovedanlegg;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;2014
nei;Z0705302301226251190SITNN;Z1503261258395753252YWDGQ;Z0911262100433121126LYOJO;Vestre Vestbygd Vannverk V/ Lødingen Kommune;Behandlingsanlegg;1851;Lødingen;Hovedanlegg;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;
ja;Z1503271248312843110EIFUF;Z1503271255164863110ZGYPD;Z1503271250066783110EHATZ;Ytterbøl Vannverk;Ytterbøl Vannverk;;;Hovedanlegg;nei;ja;nei;nei;nei;nei;nei;nei;nei;ja;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;2015
ja;Z1210150909509153145BYOQO;Z1503111005511873104EJRHH;Z1503110908312023104OCBZG;Elkem Salten Vannverk;Elkem Salten;;;Hovedanlegg;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;2025
ja;Z1208031505522810378PZUHW;Z1503181128029533178OYWGH;Z1503171104245653113ZOXKE;Vannforsyning Straumfjordnes Skole;Uv - Anlegg;;;Hovedanlegg;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;ja;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;2024
nei;Z1503102211002563252FQTOG;Z1503102226473543252MOVVT;Z1503102217204283252QETMI;Vannforsyningssystem;Behandlingsanlegg;;;Hovedanlegg;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;
nei;Z0712172011048171190VOMEZ;Z1503311309231013126GDGXU;Z0911262100233391126LXUYP;Tromsø Vannverk Vann Og Avløp;Beh-Anlegg Nord;;;Hovedanlegg;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;ja;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;2019
nei;Z1504032109025273252WSCPA;Z1504032149112813252SHKHN;Z1504032138152463252EVNXE;Harpeleiken Vasslag Sa;Behandlingsanlegg;1528;Sykkylven;Hovedanlegg;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;
nei;Z0705302301226251190SITNN;Z1503261244173083252BEQWN;Z0911262100433121126LYOJO;Vestre Vestbygd Vannverk V/ Lødingen Kommune;Planlagt Nytt Behandlingsanlegg;1851;Lødingen;Hovedanlegg;nei;nei;nei;nei;nei;ja;nei;nei;nei;nei;nei;nei;ja;nei;nei;nei;nei;nei;nei;ja;nei;nei;nei;
nei;Z1503171338193302024RABIB;Z1503171338196412024WSHIL;Z1503171338194832024SKZEA;Brønnlaget Gylteåsen -Vannforsyningen;Uv Anlegget;;;Hovedanlegg;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;
ja;Z0805072259044751190WUEAW;Z1504271000560893161CXIOJ;Z0805072259044751190JNIXN;Engerdal Vannverk;Behandlingsanlegg Engerdal Vannverk;3425;Engerdal;Hovedanlegg;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;ja;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;2025
ja;Z1104081513143700151CFIEP;Z1504281244533483251DCTMW;Z1104081519035570151DHEWP;Hattebergsdalen Vasshandsamingsanlegg;Hatteberggsdalen Vassbehandlingsanlegg;;;Hovedanlegg;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;ja;nei;nei;nei;nei;nei;nei;ja;nei;nei;nei;2025
nei;Z1103021116473840198ZEZHE;Z1503131047173123178ZDYMB;Z1107190913498721089UTJTP;Østre Seida Vannverk;Behandlingsanlegg Østre Seida;5628;Tana;Hovedanlegg;nei;ja;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;ja;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;
ja;Z1501210949229440386VZKZK;Z1504101540585053251GVQFB;Z1501210959288250386ALQXS;Øverbø Vannforsyningssystem;Behandlingsanlegg;;;Hovedanlegg;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;ja;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;
ja;Z0909161101513390159NDRLZ;Z1503191201432443252QMLRG;Z1010260852259251020WFHKF;Osen Camping Vannverk;Osen Camping Behandlingsanlegg;;;Hovedanlegg;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;ja;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;
ja;Z1503171414374802024DJWTQ;Z1503171414376512024HUBIF;Z1503171414375722024KMNUO;Hordnestunet Vannforsyningssystem;Behandlingsanlegg - Hordnestunet Vannforsyningssystem;;;Hovedanlegg;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;2015
nei;Z1504072234461043251JITFL;Z1504072239194263251OVVYN;Z1504072237334813251XIKUC;Vannforsyningssystem;Behandlingsanlegg;;;Hovedanlegg;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;
nei;Z1403242100480872025OVVOA;Z1504070953385203104MKKRN;Z1403242100482072025CPFFP;Digermulen Skole Vannverk;Uv-Anlegg;;;Hovedanlegg;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;2016
ja;Z1504151021504082024BGVQY;Z1504151021506082024XELRL;Z1504151021505362024WECGZ;Jakob Svandal Vannverk;Vannbehandlingsanlegg For Jakob Svandal Vannverk;1124;Sola;Hovedanlegg;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;2024
ja;Z1503171205187223252UDZSU;Z1503171217333503252GTGTZ;Z1503171212443163252SLOZK;Nykirke Østre Vannverk;Pumpestasjon Med Pressostattanker;;;Hovedanlegg;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;2025
nei;Z1503102211002563252FQTOG;Z1503102219103573252YQVGK;Z1503102217204283252QETMI;Vannforsyningssystem;Behandlingsanlegg;;;Hovedanlegg;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;
