aktiv;orgform;fnr;fnavn;orgnr;virksomhet;virksomhet_kommunenr;virksomhet_kommune;vannforsyningssystem;mtid_vf;ir_orgform;vregnr;kommunenr;kommune;mtregion;mtavdeling;siste_insp;omraade;periode;vannprod;vannegetnett;vann_mottatt;max_vann_pers;max_vann_dogn;beredskap;beredsk_oppd;beredsk_ovelse;boliger;helseinst;skoler;nmindustri;hyttercamp;gardsbruk;fiskemottak;ant_fastboende;ant_personer_max;ant_husstander;ant_hytter;forbr_fast_bosetting;forbr_fritidsboliger;forbr_industri;forbr_tjytende;forbr_primnaering;forbr_annet;forbr_lekkasje
nei;KOMM;940101808;Tromsø Kommune;888007202;Tromsø Kommune - Avløp;5501;Tromsø;Fagernes Vannverk Vann Og Avløp;Z0712172011060601189ZVMPE;Kommunal etat/enhet;190201;;;ERROR [MAT_EJBOrgUnit];tilsynet;2018-05-31;Fagernes;2019;72875.0;72875.0;0.0;0.0;0.0;ja;ja;ja;ja;nei;ja;ja;nei;nei;nei;218;340;95;0;14.2;0.0;0.0;12.6;0.0;41.2;32.0
nei;KOMM;940101808;Tromsø Kommune;888007202;Tromsø Kommune - Avløp;5501;Tromsø;Solligården Vannanlegg Vann Og Avløp;Z0712172011064001189HFSZN;;190209;5501;Tromsø;ERROR [MAT_EJBOrgUnit];tilsynet;;;2009;0.0;0.0;0.0;;;ja;ja;ja;nei;;;nei;;;;450;450;190;0;;;;;;;
nei;KOMM;940101808;Tromsø Kommune;888007202;Tromsø Kommune - Avløp;5501;Tromsø;Lakselvbukt Vannverk Vann Og Avløp;Z0712172011067741189AUUGG;Kommunal etat/enhet;190214;;;ERROR [MAT_EJBOrgUnit];tilsynet;2017-10-03;Deler av Lakselvbukt;2019;9668.0;9668.0;0.0;0.0;0.0;ja;ja;ja;ja;ja;ja;ja;ja;nei;nei;96;150;40;2;47.6;0.0;0.0;18.7;0.0;7.7;26.0
nei;KOMM;940101808;Tromsø Kommune;888007202;Tromsø Kommune - Avløp;5501;Tromsø;Skulsfjord Vannverk Vann Og Avløp;Z0712172011072491189ZOMXA;Kommunal etat/enhet;190208;;;ERROR [MAT_EJBOrgUnit];tilsynet;2018-10-18;1;2019;12695.0;12695.0;0.0;0.0;0.0;ja;ja;ja;ja;nei;nei;nei;nei;ja;nei;86;100;29;2;34.9;2.6;0.0;0.0;4.3;19.7;38.5
nei;KOMM;940208580;Balsfjord Kommune;974058472;Balsfjord Kommunal Teknikk Kf;5532;Balsfjord;Sand/Mortenhals Vannverk Balsfjord Kommunalteknikk;Z0712172011157701190JKZTD;Kommunalt foretak (KF);193306;5532;Balsfjord;ERROR [MAT_EJBOrgUnit];tilsynet;2015-02-17;;2019;43800.0;43800.0;0.0;60.0;365.0;ja;nei;nei;ja;nei;ja;nei;ja;;;105;125;31;3;60.0;0.0;0.0;0.0;20.0;0.0;20.0
ja;KOMM;940208580;Balsfjord Kommune;974058472;Balsfjord Kommunal Teknikk Kf;5532;Balsfjord;Meistervik Vannverk Balsfjord Kommunalteknikk;Z0712172011160061190YOQMW;Kommunalt foretak (KF);193309;;;ERROR [MAT_EJBOrgUnit];tilsynet;2022-08-23;Mestervik;2025;59000.0;59000.0;0.0;100.0;120.0;ja;ja;nei;ja;ja;ja;nei;ja;ja;nei;300;350;98;100;50.0;30.0;5.0;0.0;5.0;0.0;10.0
ja;KOMM;940208580;Balsfjord Kommune;974058472;Balsfjord Kommunal Teknikk Kf;5532;Balsfjord;Tennes Vannverk Balsfjord Kommunalteknikk;Z0712172011162431190PSYOH;Kommunalt foretak (KF);193307;5532;Balsfjord;ERROR [MAT_EJBOrgUnit];tilsynet;2010-06-24;;2025;24000.0;24000.0;0.0;60.0;365.0;ja;ja;nei;ja;nei;nei;nei;ja;;;115;115;30;8;50.0;0.0;0.0;0.0;30.0;0.0;20.0
nei;AS;899147022;Staff Universalservice As;925582050;Staff Universalservice As;5532;Balsfjord;Staff Camping Vannverk;Z0712172011165161190SEUCC;Privat AS, BA, lag, stiftelse, statlig etc;;;;ERROR [MAT_EJBOrgUnit];tilsynet;2018-05-29;Camping;2013;164.0;164.0;;20.0;;nei;nei;nei;ja;nei;nei;nei;ja;ja;nei;4;100;3;1;;;;;;;
ja;KOMM;940330408;Karlsøy Kommune;976979818;Vannverket I Karlsøy;5534;Karlsøy;Karlsøy Vannverk;Z0712172011167621189ZWZQI;Kommunal etat/enhet;193606;5534;Karlsøy;ERROR [MAT_EJBOrgUnit];tilsynet;2008-09-30;Gnr. 46;2025;8177.0;8177.0;0.0;0.0;0.0;nei;nei;nei;ja;nei;nei;nei;ja;ja;nei;33;70;17;19;;;;;;;
ja;KOMM;940330408;Karlsøy Kommune;976979818;Vannverket I Karlsøy;5534;Karlsøy;Vannavalen Vannverk Kommunale Vannverk;Z0712172011170301189JIGYP;Kommunal etat/enhet;193605;5534;Karlsøy;ERROR [MAT_EJBOrgUnit];tilsynet;2025-10-28;Vannavalen, Kristoffervalen;2025;117262.0;117262.0;0.0;100.0;365.0;nei;nei;nei;ja;nei;nei;ja;nei;nei;ja;100;123;33;26;5.0;2.0;0.0;0.0;28.0;0.0;65.0
ja;KOMM;940330408;Karlsøy Kommune;976979818;Vannverket I Karlsøy;5534;Karlsøy;Vannvåg Vannverk;Z0712172011172341189JLQIT;Kommunal etat/enhet;193602;5534;Karlsøy;ERROR [MAT_EJBOrgUnit];tilsynet;2022-03-28;Vannvåg;2025;79172.0;79172.0;0.0;0.0;0.0;nei;nei;nei;ja;ja;ja;ja;nei;nei;ja;200;250;84;6;15.0;1.0;2.0;2.0;30.0;0.0;50.0
ja;KOMM;964965137;Sandnes Kommune;974610647;Sandnes Kommune Kommunalteknikk;1108;Sandnes;Sandnes Vannverk;Z0712172011228611190JURCD;Kommunal etat/enhet;110201;1108;Sandnes;ERROR [MAT_EJBOrgUnit];tilsynet;2026-05-20;Sandnes;2025;0.0;8877397.0;8877397.0;100.0;365.0;ja;ja;ja;ja;ja;ja;ja;ja;ja;nei;79848;79848;33007;687;44.0;0.1;14.2;0.0;0.0;3.4;38.3
nei;KOMM;921060440;Lindesnes Kommune;974613611;Lindesnes Kommune Avløp Vigeland;4205;Lindesnes;Lindesnes Fyr Vannverk;Z0801241211470750120BZJVQ;Kommunal etat/enhet;;;;ERROR [MAT_EJBOrgUnit];tilsynet;2018-04-20;;2018;511.0;511.0;0.0;3000.0;365.0;ja;ja;nei;ja;nei;nei;ja;nei;;nei;0;0;0;0;;;;;;;
nei;SA;970200592;Nordre Rømskog Vannverk Sa;972468843;Nordre Rømskog Vannverk Sa;3226;Aurskog-Høland;Vannbehandlingsanlegg;Z0802251058071540130IGNUA;;;;;ERROR [MAT_EJBOrgUnit];tilsynet;;Nordre Rømskog Kommune;2009;94796.0;94796.0;;;;ja;ja;nei;ja;ja;ja;ja;ja;ja;nei;400;500;200;20;50.0;;;;;2.0;48.0
ja;AS;913284852;Stulen Gårdsbarnehage As;988945102;Stulen Gårdsbarnehage As;4001;Porsgrunn;Stulen Gårdsbarnehage Vannforsyningssystem;Z0802271240327900116CENUC;Privat AS, BA, lag, stiftelse, statlig etc;;;;ERROR [MAT_EJBOrgUnit];tilsynet;2013-08-16;Stulen Gårdsbarnehage;2018;212.0;212.0;0.0;;;ja;ja;nei;ja;ja;ja;nei;nei;nei;nei;4;28;2;0;;;;;;;
nei;KOMM;938759839;Skien Kommune;976824857;Skien Kommune Vann;4003;Skien;Gisholt Vannverk;Z0802280913203130159VQEWP;;;;;ERROR [MAT_EJBOrgUnit];tilsynet;;Gisholt;2009;384.0;384.0;;;;ja;ja;nei;ja;nei;ja;nei;nei;ja;nei;15;15;5;0;;;;;;;
nei;BEDR;;;976676181;Sahara Interkommunale Vassverk;1507;Ålesund - UTGÅTT KODE;Sahara Interkommunale Vassverk;Z0802291537254180154MTLQO;Interkommunalt samarbeid m/ særregnskap;150001;1580;Haram;ERROR [MAT_EJBOrgUnit];tilsynet;2011-06-01;OVERFØRINGSLEDNING forsynes fra Brattvåg v.v. til 2 kommunale vassverk;2019;0.0;770745.0;770745.0;0.0;0.0;ja;ja;nei;nei;nei;nei;nei;nei;nei;nei;3030;3416;0;0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
ja;KOMM;954681890;Lærdal Kommune;974587157;Lærdal Kommune Stab Og Støtte;4642;Lærdal;Saltkjelen Vassverk;Z0803041316596540159GLXFS;Kommunal etat/enhet;142202;4642;Lærdal;ERROR [MAT_EJBOrgUnit];tilsynet;2024-05-08;Saltkjelen;2025;13991.0;13991.0;0.0;100.0;365.0;ja;nei;nei;ja;nei;nei;nei;nei;nei;nei;120;150;60;1;91.0;2.0;0.0;0.0;0.0;5.0;2.0
ja;SAM;977034590;Driftsselskapet For Fellesanlegga I Djupdalen Sameie;921804229;Driftsselskapet For Fellesanlegga I Djupdalen Sameie;1506;Molde;Djupdalen Vassverk;Z0803071100354810155MZATE;Privat AS, BA, lag, stiftelse, statlig etc;150203;1506;Molde;ERROR [MAT_EJBOrgUnit];tilsynet;2018-10-19;Djupdalen;2025;7900.0;7900.0;0.0;0.0;0.0;ja;ja;nei;ja;nei;nei;nei;ja;nei;nei;167;180;44;1;100.0;0.0;0.0;0.0;0.0;0.0;0.0
ja;AS;991686460;Buen Service As;998976987;Buen Service As;3303;Kongsberg;Vannforsyning Fjellparken Hauk;Z0803121249387190125ONVAE;Privat AS, BA, lag, stiftelse, statlig etc;60414;3303;Kongsberg;ERROR [MAT_EJBOrgUnit];tilsynet;2016-06-20;Hyttefeltet Fjellparken Hauk;2025;1995.0;1995.0;0.0;;;ja;nei;nei;nei;nei;nei;nei;ja;nei;nei;0;0;0;85;;;;;;;
ja;ENK;970395067;Jotunheimen Feriesenter Petrita Arienza Gudbrandstuen;972941840;Jotunheimen Feriesenter Petrita Arienza Gudbrandstuen;3437;Sel;Jotunheimen Feriesenter - Vannforsyning;Z0803131022150450158STUHU;Privat AS, BA, lag, stiftelse, statlig etc;;3437;Sel;ERROR [MAT_EJBOrgUnit];tilsynet;2018-09-04;Jotunheimen Feriesenter;2017;40.0;40.0;0.0;;;ja;ja;nei;ja;nei;nei;ja;ja;nei;nei;1;100;1;14;;;;;;;
ja;KOMM;945717173;Rødøy Kommune;974583127;Kommuneingeniørens Kontor;1836;Rødøy;Myken Vannverk;Z0803131328518400153JWCGW;Kommunal etat/enhet;183609;;;ERROR [MAT_EJBOrgUnit];tilsynet;2019-12-23;Myken;2025;6370.0;6370.0;0.0;0.0;0.0;ja;nei;nei;ja;nei;ja;ja;ja;nei;nei;13;30;7;26;;;;;;;
nei;AS;931179837;Hundvin Naturbarnehage As;989628089;Hundvin Naturbarnehage As;4631;Alver;Hundvin Naturbarnehage As - Vannforsyning;Z0803171410363023252APWKW;Privat AS, BA, lag, stiftelse, statlig etc;;;;ERROR [MAT_EJBOrgUnit];tilsynet;2018-05-30;Hundvin naturbarnehage;2017;319.0;319.0;2500.0;;;ja;nei;nei;ja;nei;ja;nei;nei;nei;nei;5;40;2;0;;;;;;;
ja;KOMM;964993602;Vadsø Kommune;988952478;Vadsø Vann Og Avløp Kf;5607;Vadsø;Vadsø Vannverk;Z0803181105009973252BUEUZ;Kommunalt foretak (KF);200304;5607;Vadsø;ERROR [MAT_EJBOrgUnit];tilsynet;2026-01-29;Vadsø By;2025;974751.0;974751.0;0.0;100.0;365.0;ja;nei;nei;ja;ja;ja;ja;ja;ja;ja;4200;5200;1961;0;30.0;0.0;0.0;5.0;5.0;0.0;60.0
ja;SA;970056564;Ellingsøy Vassverk Sa;972496367;Ellingsøy Vassverk A/L;1508;Ålesund;Ellingsøy Vassverk Sa;Z0803251228169790116DHWVJ;Privat AS, BA, lag, stiftelse, statlig etc;150402;1508;Ålesund;ERROR [MAT_EJBOrgUnit];tilsynet;2025-03-26;Ellingsøya;2025;595512.0;840512.0;245000.0;100.0;365.0;ja;ja;ja;ja;ja;ja;ja;nei;ja;ja;2450;2450;700;15;35.0;0.5;39.5;5.0;0.0;0.0;20.0
nei;KOMM;948243113;Sola Kommune;987925760;Sola Kommune Seksjon Vann Og Avløp Avløp;1124;Sola;Sola Kommunale Avvløpssystem;Z0803251313339020154VRUEP;;112401;1124;Sola;ERROR [MAT_EJBOrgUnit];tilsynet;2012-10-03;Sola kommune;2012;0.0;0.0;4257628.0;;;ja;ja;nei;ja;ja;ja;ja;ja;ja;nei;0;;0;0;34.0;0.0;49.0;0.0;0.0;0.0;17.0
ja;FLI;970946039;Brusdalsheimen Sunnmøre Indremisj;972833819;Brusdalsheimen Sunnmøre Indremisjon;1508;Ålesund;Vannforsyningssystemet For Brusdalsheimen;Z0803251400091100116FHBGQ;;;;;ERROR [MAT_EJBOrgUnit];tilsynet;2008-10-16;Brusdalsheimen;2016;;;;;;nei;;;ja;nei;nei;ja;nei;nei;nei;0;120;0;0;;;;;;;
ja;KOMM;964963371;Nome Kommune;973794841;Nome Kommune Vannverk;4018;Nome;Ytre Helgen;Z0803280848420390127QTJLH;Kommunal etat/enhet;81906;4018;Nome;ERROR [MAT_EJBOrgUnit];tilsynet;;Ytre Helgen;2025;0.0;5000.0;5000.0;55.0;365.0;ja;nei;nei;ja;nei;nei;nei;nei;nei;nei;52;52;22;0;70.0;5.0;5.0;0.0;10.0;0.0;10.0
ja;KOMM;964983380;Bindal Kommune;974622173;Bindal Kommune Plan- Og Ressursavdelingen Avd Administrasjon;1811;Bindal;Gaupen Vannverk;Z0803281253388030116ENNSF;;181106;1811;Bindal;ERROR [MAT_EJBOrgUnit];tilsynet;2021-04-20;Gaupen ;2009;2102.0;2102.0;0.0;;;ja;ja;nei;ja;nei;nei;nei;nei;ja;nei;15;40;10;9;;;;;;;
nei;BEDR;;;974549875;Rådmannskontoret I Nesset;1543;Nesset - UTGÅTT KODE;Eidsvåg Vannverk;Z0803281456274550164RMDRO;Kommunal etat/enhet;154301;1506;Molde;ERROR [MAT_EJBOrgUnit];tilsynet;2018-12-05;Rød, Eidsvåg og Raudsand;2018;219475.0;219475.0;0.0;0.0;0.0;ja;ja;nei;ja;ja;ja;ja;ja;ja;nei;1500;1500;600;19;31.0;23.0;13.0;8.0;12.0;3.0;10.0
ja;SA;985667160;Austevoll Vatn Og Avløp Sa;985680264;Austevoll Vatn Og Avløp Sa;4625;Austevoll;Austevoll Vassverk;Z0803301904179913252WPOHD;Privat AS, BA, lag, stiftelse, statlig etc;124402;;;ERROR [MAT_EJBOrgUnit];tilsynet;2026-06-16;Austevoll Kommune;2025;1034555.0;1034555.0;0.0;100.0;365.0;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;5265;8252;2106;1195;37.0;3.0;36.0;0.0;0.0;1.0;23.0
ja;KOMM;954681890;Lærdal Kommune;974587157;Lærdal Kommune Stab Og Støtte;4642;Lærdal;Steinklepp Vassverk;Z0803311017349330124OENWK;Kommunal etat/enhet;142204;4642;Lærdal;ERROR [MAT_EJBOrgUnit];tilsynet;2012-02-15;Steinklepp;2025;3331.0;3331.0;0.0;100.0;365.0;ja;nei;nei;ja;nei;ja;ja;nei;ja;nei;25;120;10;0;93.0;2.0;0.0;2.0;2.0;1.0;0.0
ja;AS;916300751;Storefjell Høyfjellshotell As;973241338;Storefjell Resort Hotell;3324;Gol;Storefjell Resort Hotel Vannforsyning;Z0803311133042353252ZMWPE;Privat AS, BA, lag, stiftelse, statlig etc;;;;ERROR [MAT_EJBOrgUnit];tilsynet;2022-09-23;Storefjell;2024;19600.0;19600.0;0.0;100.0;30.0;ja;ja;ja;ja;nei;nei;ja;nei;ja;nei;3;500;1;1;;;;;;;
ja;SA;976567439;Fresvik Vassverk Sa;876588072;Fresvik Vassverk Sa;4639;Vik;Fresvik Vassverk;Z0803311312180630124WRFUC;Privat AS, BA, lag, stiftelse, statlig etc;141703;4639;Vik;ERROR [MAT_EJBOrgUnit];tilsynet;2022-11-01;Fresvik;2025;70000.0;70000.0;0.0;100.0;365.0;ja;nei;ja;ja;nei;ja;ja;ja;ja;nei;100;120;37;19;40.0;15.0;10.0;5.0;5.0;5.0;20.0
ja;KOMM;964965226;Stavanger Kommune;973863452;Stavanger Kommune Vann;1103;Stavanger;Stavanger Kommunale Vannverk;Z0803311359131310119IDZVE;Kommunalt foretak (KF);110301;1103;Stavanger;ERROR [MAT_EJBOrgUnit];tilsynet;2024-10-29;Stavanger kommune;2025;0.0;17455344.0;17455344.0;100.0;365.0;ja;ja;ja;ja;ja;ja;ja;ja;ja;nei;150000;180000;70000;200;64.9;0.2;4.1;15.5;1.0;0.0;14.3
nei;FLI;971038071;Normisjon Region Rogaland;973154591;Normisjon Region Rogaland Hovedkontor;1103;Stavanger;Stavtjørn Misjonssenter Vannforsyning;Z0804010750458580160TEJCP;;;;;ERROR [MAT_EJBOrgUnit];tilsynet;2010-10-08;Stavtjørn;2010;170.0;170.0;;;;ja;ja;nei;nei;nei;nei;ja;nei;nei;nei;0;50;0;0;;;;;;;
nei;FLI;976293649;Tonstad Idrettslag;913216288;Tonstad Idrettslag;4228;Sirdal;Feed Skiarena - Vannforsyning;Z0804010956258160160OSORC;;;;;ERROR [MAT_EJBOrgUnit];tilsynet;2013-04-04;Feed Skiarena;2012;135.0;135.0;;;;nei;ja;nei;nei;nei;nei;ja;nei;nei;nei;0;200;0;0;;;;;;;
nei;SA;985667160;Austevoll Vatn Og Avløp Sa;985680264;Austevoll Vatn Og Avløp Sa;4625;Austevoll;Storekalsøy Vassverk;Z0804011706482813252VOWWO;Privat AS, BA, lag, stiftelse, statlig etc;124404;;;ERROR [MAT_EJBOrgUnit];tilsynet;2009-09-30;Storekalsøy;2015;32101.0;32101.0;0.0;;;ja;nei;nei;ja;nei;nei;ja;nei;nei;nei;212;450;85;121;55.0;34.0;0.0;1.0;0.0;0.0;10.0
ja;ENK;977279879;Sande Camping Turid Sande Beinnes;977407087;Sande Camping Turid Sande Beinnes;4651;Stryn;Sande Camping - Vassforsyning;Z0804020839513560153FECCR;Privat AS, BA, lag, stiftelse, statlig etc;;;;ERROR [MAT_EJBOrgUnit];tilsynet;2020-08-21;Sande camping;2018;4000.0;4000.0;0.0;0.0;0.0;;nei;nei;ja;nei;nei;ja;ja;nei;nei;7;200;2;0;;;;;;;
ja;SA;970547509;Heia Vassverk Sa;975070484;Heia Vassverk Sa;1130;Strand;Heia Vassverk;Z0804021327060850120CWBRH;Privat AS, BA, lag, stiftelse, statlig etc;113001;1130;Strand;ERROR [MAT_EJBOrgUnit];tilsynet;2013-01-08;Heia, Strand kommune;2025;0.0;14063.0;14063.0;0.0;0.0;ja;nei;nei;ja;nei;nei;nei;nei;ja;nei;150;300;48;1;30.0;0.0;0.0;0.0;40.0;0.0;30.0
ja;SA;;;980948579;Sjølisand Vannverk Sa;3424;Rendalen;Sjølisand Vannverk;Z0804021433436870123WLWMQ;Privat AS, BA, lag, stiftelse, statlig etc;;;;ERROR [MAT_EJBOrgUnit];tilsynet;2008-05-21;Sjølisand;2023;1500.0;1500.0;0.0;0.0;0.0;nei;nei;nei;ja;nei;nei;nei;nei;nei;nei;17;40;10;12;;;;;;;
nei;ENK;971597143;Kjell Løken Dødsbu;876171252;Kjell Løken Dødsbu;4651;Stryn;Løken Camping Vannforsyning;Z0804031303084620109AOMLE;Privat AS, BA, lag, stiftelse, statlig etc;;;;ERROR [MAT_EJBOrgUnit];tilsynet;2008-07-16;Løken camping;2013;100.0;100.0;;;;;nei;nei;ja;nei;nei;nei;ja;ja;nei;4;110;0;13;;;;;;;
ja;KOMM;964963827;Kviteseid Kommune;974609509;Kviteseid Kommune Anleggstenesta Drift/Vedlikehald Etc;4028;Kviteseid;Brunkeberg Oppvekstsenter;Z0804071303076660163RDPCD;Kommunal etat/enhet;;4028;Kviteseid;ERROR [MAT_EJBOrgUnit];tilsynet;2008-04-23;Brunkeberg;2017;340.0;340.0;0.0;0.0;0.0;ja;nei;nei;nei;nei;ja;nei;nei;nei;nei;0;40;0;0;;;;;;;
nei;KOMM;864980902;Rauma Kommune;974549840;Rauma Kommune Anleggstjenesten Drift/Vedlikehold;1539;Rauma;Innfjorden Vannverk;Z0804171043106740127XGUAT;Kommunal etat/enhet;153911;1539;Rauma;ERROR [MAT_EJBOrgUnit];tilsynet;2012-03-14;Innfjorden;2016;53028.0;53028.0;0.0;200.0;200.0;ja;ja;ja;ja;nei;ja;nei;ja;ja;nei;171;171;68;9;90.0;1.0;0.0;0.0;9.0;0.0;0.0
ja;SA;964239665;Vestnes Vassverk Sa;971862106;Vestnes Vassverk Sa;1535;Vestnes;Vestnes Vassverk;Z0804171048178370127LTUHJ;Privat AS, BA, lag, stiftelse, statlig etc;153506;1535;Vestnes;ERROR [MAT_EJBOrgUnit];tilsynet;2026-04-14;Vestnes;2025;579424.0;579424.0;0.0;99.0;365.0;ja;ja;ja;ja;ja;ja;ja;ja;ja;nei;3300;3300;1373;149;41.0;2.0;10.0;9.0;2.0;1.0;35.0
nei;BEDR;;;974549875;Rådmannskontoret I Nesset;1543;Nesset - UTGÅTT KODE;Eikesdal Vassverk;Z0804171056150990127ALKZH;Kommunal etat/enhet;154308;;;ERROR [MAT_EJBOrgUnit];tilsynet;2017-12-13;Eikesdal;2018;7882.0;7882.0;0.0;17.0;365.0;ja;ja;nei;ja;nei;nei;ja;ja;ja;nei;50;0;0;0;60.0;40.0;0.0;0.0;0.0;0.0;0.0
ja;KOMM;964981426;Gjemnes Kommune;974619555;Gjemnes Kommune Utvikling Og Drift;1557;Gjemnes;Høgset Vassverk;Z0804171101184690127EDKHG;Kommunal etat/enhet;155705;;;ERROR [MAT_EJBOrgUnit];tilsynet;2026-09-03;Gjemnesstranda, Bergsøya, Høgset;2025;44904.0;73279.0;28375.0;100.0;365.0;ja;nei;nei;ja;nei;ja;nei;nei;ja;nei;288;300;96;13;60.0;5.0;5.0;0.0;1.0;5.0;24.0
nei;BEDR;;;976637135;Oppegård Kommune Vann Avløp Og Renovasjon;0217;Oppegård - UTGÅTT KODE;Oppegård Vannverk;Z0804180935596490155WYIVC;Kommunal etat/enhet;21701;;;ERROR [MAT_EJBOrgUnit];tilsynet;2019-02-28;Oppegård kommune og Ås kommune;2018;5087053.0;3494186.0;0.0;26620.0;365.0;ja;ja;ja;ja;ja;ja;ja;nei;ja;nei;36900;39000;9350;0;43.9;0.0;0.9;1.9;0.0;0.0;53.3
nei;BEDR;;;989679368;Filefjell Miljødrift As;1422;Lærdal - UTGÅTT KODE;Gramstølen Hyttefelt;Z0804211034082570158BYIZY;Privat AS, BA, lag, stiftelse, statlig etc;142203;4642;Lærdal;ERROR [MAT_EJBOrgUnit];tilsynet;2015-10-27;Gramstølen Hyttefelt;2015;945.0;945.0;0.0;0.0;0.0;ja;ja;nei;nei;nei;nei;nei;ja;nei;nei;0;250;0;66;;;;;;;
ja;BA;991964606;Stormyra Og Sommernes Vannverk Ba;925648698;Stormyra Og Sommernes Vannverk Ba;1848;Steigen;Stormyra Og Sommernes Vannverk Ba;Z0804220958139550181RJDOV;Privat AS, BA, lag, stiftelse, statlig etc;184822;1848;Steigen;ERROR [MAT_EJBOrgUnit];tilsynet;2017-05-31;Stormyra og Sommernes;2025;10950.0;10950.0;0.0;0.0;0.0;ja;nei;nei;ja;nei;nei;nei;nei;ja;nei;141;141;45;2;90.0;3.0;5.0;0.0;2.0;0.0;0.0
nei;AS;991358498;Musdalsæter Hyttegrend As;990006008;Musdalsæter Hyttegrend As;3440;Øyer;Musdalsæter Vannverk;Z0804221013007473252CVFIO;Privat AS, BA, lag, stiftelse, statlig etc;52104;;;ERROR [MAT_EJBOrgUnit];tilsynet;2015-08-20;Musdalsæter hyttegrend;2018;5330.0;5330.0;150.0;;;ja;ja;nei;nei;nei;nei;nei;ja;nei;nei;0;0;0;200;;;;;;;
nei;FLI;938679177;Norsk Luthersk Misjonssamband;974146746;Livoll Ungdomssenter;3438;Sør-Fron;Livoll Ungdomssenter - Vannforsyning;Z0804241352558930152YOZMD;Privat AS, BA, lag, stiftelse, statlig etc;;3438;Sør-Fron;ERROR [MAT_EJBOrgUnit];tilsynet;2015-03-04;Livoll;2017;250.0;250.0;0.0;0.0;0.0;ja;nei;nei;nei;nei;nei;ja;ja;nei;nei;1;55;2;0;;;;;;;
nei;ENK;981993918;Lauvåsen Tore Strand;982013682;Lauvåsen Fjellstue;3438;Sør-Fron;Lauvåsen Fjellstue - Vannforsyning;Z0804241426436720152BBUMX;Kommunal etat/enhet;;;;ERROR [MAT_EJBOrgUnit];tilsynet;2018-01-19;Lauvåsen;2018;3640.0;3640.0;0.0;;;ja;ja;nei;nei;nei;nei;ja;ja;ja;nei;0;175;0;40;;;;;;;
nei;BEDR;;;992241039;Aurmo Vassverk;0513;Skjåk - UTGÅTT KODE;Aurmo Vassverk;Z0804251006462710126ONVXN;;51302;;;ERROR [MAT_EJBOrgUnit];tilsynet;2008-05-29;Aurmo;2011;23576.0;23576.0;0.0;;;ja;ja;ja;ja;nei;ja;nei;ja;nei;nei;180;280;68;7;83.0;5.0;;;7.0;;5.0
ja;KOMM;939607706;Vågå Kommune;982010837;Vågå Kommune Areal Og Samfunnsutvikling;3435;Vågå;Sjårdalen Dagsenter - Vannforsyning;Z0804251057144870126BYEUX;Kommunal etat/enhet;;;;ERROR [MAT_EJBOrgUnit];tilsynet;2014-03-05;Sjårdalen;2022;173.0;173.0;0.0;5.0;365.0;ja;ja;nei;nei;nei;ja;nei;nei;nei;nei;2;50;1;0;;;;;;;
ja;ENK;969751666;Øyen Odd Egil;978425976;Øyen Odd Egil;3434;Lom;Øyen Camping;Z0804251422118250126WUEGZ;Privat AS, BA, lag, stiftelse, statlig etc;;3434;Lom;ERROR [MAT_EJBOrgUnit];tilsynet;2009-11-09;Øyen;2017;72.0;72.0;0.0;;;ja;ja;nei;ja;nei;nei;nei;ja;ja;nei;0;50;1;0;;;;;;;
nei;BEDR;;;982872901;Svaberget Camping;1811;Bindal;Svaberget Camping Vannforsyning;Z0804281140562250182HGVGO;;;;;ERROR [MAT_EJBOrgUnit];tilsynet;2012-08-16;;2012;200.0;200.0;0.0;;;;ja;ja;nei;nei;nei;ja;ja;nei;nei;0;70;0;0;;;;;;;
ja;AS;992250062;Stavtjørn Alpin As;892260982;Stavtjørn Alpin As;1114;Bjerkreim;Stavtjørn Alpin As - Vannforsyning;Z0804281324118690109GUXHN;Privat AS, BA, lag, stiftelse, statlig etc;;;;ERROR [MAT_EJBOrgUnit];tilsynet;2017-02-28;Stavtjørn Alpinsenter;2024;50.0;50.0;0.0;;;nei;nei;nei;nei;nei;nei;ja;ja;nei;nei;0;50;0;0;;;;;;;
nei;ENK;920066038;Janne Marie Veen Vassbø;973883941;Janne Marie Veen Vassbø;1114;Bjerkreim;Veen Gard Og Gardscamping - Vannforsyning;Z0804281336146000109VVJAR;Privat AS, BA, lag, stiftelse, statlig etc;;;;ERROR [MAT_EJBOrgUnit];tilsynet;2017-05-11;Veen gard og gardscamping;2016;5000.0;5000.0;0.0;0.0;0.0;ja;ja;ja;ja;nei;nei;nei;ja;ja;nei;3;200;2;71;;;;;;;
nei;BEDR;;;975274276;Vidarheim Skole;0521;Øyer - UTGÅTT KODE;Vidarheim Skole;Z0804281511142750129QTTJD;;;;;ERROR [MAT_EJBOrgUnit];tilsynet;;;2011;850.0;850.0;0.0;;;;nei;nei;;;ja;;;;;0;0;0;0;;;;;;;
